question_en,answer_en,question_ne,answer_ne
why is crop rotation important in farming?,"This helps to prevent soil erosion and depletion, and can also help to control pests and diseases",खेतीमा बाली रोटेशन किन महत्त्वपूर्ण छ?,"यसले माटोको क्षरण र रित्तोपन रोक्न मद्दत गर्दछ, र कीटहरू र रोगहरू नियन्त्रण गर्न पनि मद्दत गर्न सक्छ"
What’s the reason for crop rotation important in farming?,"This helps to prevent soil erosion and depletion, and can also help to control pests and diseases",N/A,"यसले माटोको क्षरण र रित्तोपन रोक्न मद्दत गर्दछ, र कीटहरू र रोगहरू नियन्त्रण गर्न पनि मद्दत गर्न सक्छ"
What farming practice helps prevent soil erosion?,Crop Rotation,कुन खेती अभ्यासले माटोको क्षरण रोक्न मद्दत गर्दछ?,क्रप परिक्रमण
what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons,फसल परिक्रमण भनेको के हो,बाली रोटेशन भनेको धेरै मौसमहरूमा एउटै क्षेत्रमा विभिन्न बालीहरूको श्रृंखला उब्जाउने अभ्यास हो
Could you tell me what crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons,N/A,बाली रोटेशन भनेको धेरै मौसमहरूमा एउटै क्षेत्रमा विभिन्न बालीहरूको श्रृंखला उब्जाउने अभ्यास हो
what are the different methods of irrigation?,"surface irrigation, drip irrigation, and sprinkler irrigation",सिंचाईका विभिन्न विधिहरू के के हुन्?,"सतह सिंचाई, ड्रिप सिंचाई, र स्प्रिंकलर सिंचाई"
why is soil health vital?,"Soil health is critical to crop growth and productivity, as it provides the necessary nutrients and support for plants to thrive.",माटोको स्वास्थ्य किन महत्त्वपूर्ण छ?,"बाली विकास र उत्पादकत्वको लागि माटोको स्वास्थ्य महत्वपूर्ण छ, किनकि यसले बोटबिरुवाहरू फस्टाउनको लागि आवश्यक पोषक तत्वहरू र समर्थन प्रदान गर्दछ ।"
What’s the reason for soil health vital?,"Soil health is critical to crop growth and productivity, as it provides the necessary nutrients and support for plants to thrive.",N/A,"बाली विकास र उत्पादकत्वको लागि माटोको स्वास्थ्य महत्वपूर्ण छ, किनकि यसले बोटबिरुवाहरू फस्टाउनको लागि आवश्यक पोषक तत्वहरू र समर्थन प्रदान गर्दछ ।"
what are the causes of soil degradation?,"erosion, compaction, and nutrient depletion",माटोको ह्रासका कारणहरू के के हुन्?,"क्षरण, संकुचन, र पोषक तत्वको कमी"
what is organic farming?,"method of crop production that emphasizes the use of natural and sustainable practices, such as crop rotation, composting, and biological pest control",जैविक खेती भनेको के हो?,"बाली उत्पादनको विधि जसले बाली रोटेशन, कम्पोस्टिंग, र जैविक कीट नियन्त्रण जस्ता प्राकृतिक र दिगो अभ्यासहरूको प्रयोगमा जोड दिन्छ"
Could you tell me what organic farming?,"method of crop production that emphasizes the use of natural and sustainable practices, such as crop rotation, composting, and biological pest control",N/A,"बाली उत्पादनको विधि जसले बाली रोटेशन, कम्पोस्टिंग, र जैविक कीट नियन्त्रण जस्ता प्राकृतिक र दिगो अभ्यासहरूको प्रयोगमा जोड दिन्छ"
what is the importane of organic farming?,This approach seeks to minimize the use of synthetic chemicals and promote the health of the soil and the environment,जैविक खेतीको आयात के हो?,यस दृष्टिकोणले सिंथेटिक रसायनको प्रयोगलाई कम गर्न र माटो र वातावरणको स्वास्थ्यलाई बढावा दिन खोज्छ
Could you tell me what the importane of organic farming?,This approach seeks to minimize the use of synthetic chemicals and promote the health of the soil and the environment,N/A,यस दृष्टिकोणले सिंथेटिक रसायनको प्रयोगलाई कम गर्न र माटो र वातावरणको स्वास्थ्यलाई बढावा दिन खोज्छ
Which crop is the major source of food in africa?,Cassava ,अफ्रिकामा खानाको मुख्य स्रोत कुन बाली हो?,Cassava
what is the major cassava disease?,Cassava Mosaic Disease (CMD),प्रमुख कसावा रोग के हो?,कासाभा मोजेक रोग (CMD)
Could you tell me what the major cassava disease?,Cassava Mosaic Disease (CMD),N/A,कासाभा मोजेक रोग (CMD)
what are different cassava diseases?,Cassava ,विभिन्न कसावा रोगहरू के हुन्?,Cassava
